time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2026-05-05 12:43:34.939 UTC, ,125,3159989,1080,14000,136, ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,3317098520576,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1777985014929, , , , ,3145728,1218, , , ,1,4,4,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,74,454,559980952,6, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-05-05 12:44:34.940 UTC, ,8093,12954845,1288,9800832,192, ,604, ,76801, , , , , , , , , ,604,10, , , ,605,1,5, ,2, , , , , , , , , , , ,60606, , ,1218,1,573,573, , , , ,9999337,3317199446016,67,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9999337, ,1777985014929, , , , ,3145728,4296620137, , , ,122,76202,56875,76201,4,76202, , ,3,76204, , , , , , , ,38,1, , ,6144,3,11650869,76203, , , , , , , , ,2,12,474560744,7, , , , , , ,76204, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76201, , , , , , , , , , , 
2026-05-05 12:45:34.941 UTC, ,3479,23465359,1808,20315960,192, ,1250, ,82572, , , , , , , , , ,1250,16, , , ,1255,1,7, ,8, , , , , , , , , , , ,82562, , ,8589946507,2,20003130,8589938295,1,1,3,7,22504196,3317167603712,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22504196, ,1777985014929, , , , ,3145728,8594452026, , , ,104,81917,57553,81918,2,81917, , ,3,81922, , , , , , , ,38,1, , ,2048,1,12862869,81918, , , , , , , , ,1,6,565440008,5, , , , , , ,81932, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81917, , , , , , , , , , , 
2026-05-05 12:46:34.941 UTC, ,11863,33355871,1912,30198088,192, ,1856, ,77622, , , , , , , , , ,1856,21, , , ,1866,1,7, , , , , , , , , , , , , ,77622, , ,8589946507,2,20003130,8589938295, , , , ,35003177,3317160845312,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35003177, ,1777985014929, , , , ,3145728,12891576015, ,129, ,107,77017,57000,77016,2,77017, , ,3,77021, , , , , , , ,38,1, , ,2048,1,12155704,77018, , , ,1, , , , ,1,7,643432600,6, , , , , , ,77016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77016, , , , , , , , , , , 
2026-05-05 12:47:34.942 UTC, ,7249,43737657,2328,40584488,192, ,2494, ,81600, , , , , , , , , ,2494,26, , , ,2509,1,7, ,12, , , , , , , , , , , ,81585, , ,17179884479,3,20003400,17179876287,1, ,4,8,47503447,3317148430336,66,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47503447, ,1777985014929, , , , ,3145728,17189359024, ,129, ,70,80948,57280,80948,2,80948, , ,3,80952, , , , , , , ,38,1, , ,2048,1,12815601,80948, , , ,1, , , , ,2,21,558929192,5, , , , , , ,80968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80947, , , , , , , , , , , 
