je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testProjectAll	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that uses projection file to project all stats.	NOT-PORTED			medium	medium	no matching test by name (snake=project_all); behaviour-level check needed
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testProjectCmdLine	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that uses projection from command line.	NOT-PORTED			medium	medium	no matching test by name (snake=project_cmd_line); behaviour-level check needed
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testFileAndCmdLine	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that uses projection from command line and projection file	NOT-PORTED			medium	medium	no matching test by name (snake=file_and_cmd_line); behaviour-level check needed
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testProjectAllMultiInputFiles	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that uses projection file to project all stats.	NOT-PORTED			medium	medium	no matching test by name (snake=project_all_multi_input_files); behaviour-level check needed
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testEnvConfigProjectCmdLine	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that uses projection from command line on environment statistics file.	NOT-PORTED			medium	medium	no matching test by name (snake=env_config_project_cmd_line); behaviour-level check needed
com/sleepycat/je/util/dbfilterstats	DbFilterStatsTest	testQuotesEscapes	test/com/sleepycat/je/util/dbfilterstats/DbFilterStatsTest.java	Test that creates file with escapes and quoted strings and projects all the data.	NOT-PORTED			medium	medium	no matching test by name (snake=quotes_escapes); behaviour-level check needed
